prop,n,wins,losses,pushes,avg_edge,win_rate_ex_push
AST,59,27,30,2,-0.3369322033898305,0.47368421052631576
PA,60,35,25,0,-1.5528000000000002,0.5833333333333334
PR,66,35,31,0,-1.2125454545454546,0.5303030303030303
PRA,58,32,26,0,-1.9647068965517243,0.5517241379310345
PTS,248,145,103,0,-0.8343145161290323,0.5846774193548387
RA,42,19,22,1,-0.42519047619047623,0.4634146341463415
REB,91,39,47,5,0.0029999999999999576,0.45348837209302323
STL,16,4,12,0,0.30506249999999996,0.25
TO,15,15,0,0,-1.7,1.0
