player,prop,book_line,direction,model_prediction,edge,actual_value,result
Collin Murray-Boyles,PRA,18.5,OVER,24.356,5.856000000000002,25.0,WIN
Precious Achiuwa,PR,12.5,OVER,17.767,5.2669999999999995,16.0,WIN
Collin Murray-Boyles,PR,16.5,OVER,21.708,5.207999999999998,19.0,WIN
Day'Ron Sharpe,PR,13.5,OVER,18.498,4.998000000000001,26.0,WIN
Collin Murray-Boyles,PTS,8.5,OVER,13.453,4.952999999999999,12.0,WIN
Precious Achiuwa,PTS,7.5,OVER,12.113,4.6129999999999995,9.0,WIN
Collin Murray-Boyles,PA,11.5,OVER,16.101,4.600999999999999,18.0,WIN
Tyrese Maxey,PR,31.5,OVER,36.005,4.505000000000003,37.0,WIN
Day'Ron Sharpe,PTS,6.5,OVER,10.605,4.105,14.0,WIN
Tyrese Maxey,PRA,37.5,OVER,41.574,4.073999999999998,39.0,WIN
Jake LaRavia,PR,15.5,OVER,19.395,3.895,4.0,LOSS
Jake LaRavia,PTS,10.5,OVER,14.325,3.8249999999999993,2.0,LOSS
Lauri Markkanen,PRA,35.5,OVER,39.238,3.737999999999999,42.0,WIN
Sam Merrill,PTS,11.5,OVER,15.131,3.631,14.0,WIN
Tyrese Maxey,PTS,27.5,OVER,30.978,3.4780000000000015,33.0,WIN
Terance Mann,PA,9.5,OVER,12.739,3.2390000000000008,11.0,WIN
Lauri Markkanen,RA,9.0,OVER,12.168,3.1679999999999993,14.0,WIN
Sam Merrill,PR,14.5,OVER,17.615,3.1149999999999984,16.0,WIN
Tyrese Maxey,PA,33.5,OVER,36.546,3.0459999999999994,35.0,WIN
Danny Wolf,PRA,12.5,OVER,15.507,3.0069999999999997,8.0,LOSS
Nique Clifford,PTS,6.5,OVER,9.377,2.8770000000000007,0.0,LOSS
John Collins,PA,16.5,OVER,19.161,2.661000000000002,4.0,LOSS
Jake LaRavia,PRA,18.5,OVER,21.132,2.6320000000000014,7.0,LOSS
Jarred Vanderbilt,PA,6.5,OVER,9.115,2.615,0.0,LOSS
Sam Merrill,PRA,16.5,OVER,19.05,2.5500000000000007,19.0,WIN
Terance Mann,PTS,6.5,OVER,9.013,2.513,5.0,LOSS
Jaxson Hayes,PR,10.5,OVER,13.002,2.5020000000000007,17.0,WIN
Johnny Furphy,PA,7.5,OVER,9.869,2.369,5.0,LOSS
Danny Wolf,PR,11.5,OVER,13.816,2.3160000000000007,7.0,LOSS
Lauri Markkanen,PA,28.5,OVER,30.731,2.2310000000000016,30.0,WIN
