player,prop,book_line,direction,model_prediction,edge,actual_value,result
Julian Champagnie,PTS,11.5,OVER,19.412,7.911999999999999,12.0,WIN
Jarrett Allen,PTS,12.5,OVER,16.998,4.498000000000001,16.0,WIN
Davion Mitchell,PTS,6.5,OVER,10.839,4.339,1.0,LOSS
Victor Wembanyama,REB,9.0,OVER,12.749,3.749000000000001,6.0,LOSS
Sion James,PTS,4.5,OVER,8.09,3.59,4.0,LOSS
Nicolas Batum,PTS,3.5,OVER,6.721,3.221,0.0,LOSS
Ryan Kalkbrenner,PTS,6.5,OVER,9.679,3.1790000000000003,12.0,WIN
Rudy Gobert,PTS,10.5,OVER,13.604,3.103999999999999,8.0,LOSS
Matas Buzelis,PTS,17.5,OVER,20.541,3.0410000000000004,15.0,LOSS
Darius Garland,PTS,18.5,OVER,21.28,2.780000000000001,22.0,WIN
Luke Kornet,PTS,6.5,OVER,8.524,2.023999999999999,5.0,LOSS
Kel'el Ware,PTS,9.5,OVER,11.489,1.9890000000000008,2.0,LOSS
Anfernee Simons,PTS,12.5,OVER,14.451,1.9510000000000003,5.0,LOSS
Neemias Queta,REB,7.5,OVER,9.358,1.8580000000000003,13.0,WIN
Norman Powell,AST,2.5,OVER,4.26,1.7599999999999998,1.0,LOSS
Johnny Furphy,PTS,5.5,OVER,7.189,1.689,10.0,WIN
Sion James,REB,2.5,OVER,4.154,1.654,7.0,WIN
Darius Garland,AST,6.5,OVER,7.815,1.3150000000000004,6.0,LOSS
Donovan Mitchell,REB,4.5,OVER,5.812,1.3120000000000005,3.0,LOSS
De'Andre Hunter,PTS,11.5,OVER,12.782,1.282,4.0,LOSS
Sion James,AST,1.5,OVER,2.73,1.23,5.0,WIN
Victor Wembanyama,AST,2.5,OVER,3.654,1.154,1.0,LOSS
Darius Garland,REB,2.5,OVER,3.493,0.993,0.0,LOSS
Jay Huff,PTS,9.5,OVER,10.476,0.9760000000000008,8.0,LOSS
Ryan Kalkbrenner,AST,0.5,OVER,1.474,0.974,0.0,LOSS
Luka Garza,PTS,8.5,OVER,9.405,0.9049999999999994,11.0,WIN
Norman Powell,PTS,21.5,OVER,22.396,0.8960000000000008,6.0,LOSS
Victor Wembanyama,PTS,20.5,OVER,21.394,0.8939999999999984,21.0,WIN
Derrick White,PTS,18.5,OVER,19.377,0.8769999999999989,29.0,WIN
Donovan Mitchell,AST,5.0,OVER,5.839,0.8390000000000004,8.0,WIN
Anthony Edwards,PTS,28.5,OVER,29.335,0.8350000000000009,25.0,LOSS
Miles Bridges,REB,6.5,OVER,7.321,0.8209999999999997,7.0,WIN
De'Andre Hunter,AST,1.5,OVER,2.254,0.754,2.0,WIN
Sam Merrill,REB,2.5,OVER,3.232,0.7320000000000002,2.0,LOSS
Daniel Gafford,PTS,10.5,OVER,11.181,0.6809999999999992,6.0,LOSS
John Collins,PTS,13.5,OVER,14.175,0.6750000000000007,25.0,WIN
Duncan Robinson,AST,1.5,OVER,2.143,0.6429999999999998,1.0,LOSS
Derrick White,REB,4.5,OVER,5.122,0.6219999999999999,9.0,WIN
T.J. McConnell,PTS,10.5,OVER,11.077,0.577,12.0,WIN
Stephon Castle,REB,4.5,OVER,5.071,0.5709999999999997,2.0,LOSS
Anthony Edwards,REB,5.0,OVER,5.568,0.5679999999999996,5.0,PUSH
Brook Lopez,PTS,6.5,OVER,7.057,0.5570000000000004,0.0,LOSS
Isaiah Collier,REB,2.5,OVER,3.036,0.536,1.0,LOSS
Cooper Flagg,AST,5.5,OVER,5.986,0.4859999999999997,2.0,LOSS
Sam Merrill,PTS,10.5,OVER,10.965,0.4649999999999998,20.0,WIN
Jaden McDaniels,AST,2.5,OVER,2.954,0.4540000000000002,1.0,LOSS
Anthony Edwards,AST,4.0,OVER,4.447,0.447,3.0,LOSS
Craig Porter,PTS,5.5,OVER,5.858,0.3579999999999996,0.0,LOSS
Kon Knueppel,REB,5.0,OVER,5.348,0.3479999999999998,0.0,LOSS
Harrison Barnes,AST,1.5,OVER,1.823,0.3229999999999999,3.0,WIN
Andrew Nembhard,PTS,17.5,OVER,17.773,0.2729999999999997,29.0,WIN
Tre Jones,PTS,11.5,OVER,11.715,0.2149999999999998,13.0,WIN
Jay Huff,AST,1.5,OVER,1.714,0.2139999999999999,2.0,WIN
Cody Williams,REB,2.5,OVER,2.692,0.1920000000000001,2.0,LOSS
Luke Kornet,AST,1.5,OVER,1.691,0.191,1.0,LOSS
Bam Adebayo,REB,9.5,OVER,9.668,0.1679999999999992,9.0,LOSS
Payton Pritchard,REB,4.5,OVER,4.628,0.1280000000000001,5.0,WIN
Isaac Okoro,PTS,7.5,OVER,7.618,0.1180000000000003,13.0,WIN
Kawhi Leonard,REB,5.5,OVER,5.613,0.1130000000000004,8.0,WIN
Isaac Okoro,REB,3.5,OVER,3.519,0.0190000000000001,4.0,WIN
Neemias Queta,PTS,8.5,UNDER,8.463,-0.0370000000000008,9.0,LOSS
Klay Thompson,AST,1.5,UNDER,1.429,-0.0709999999999999,1.0,WIN
Sam Hauser,PTS,8.5,UNDER,8.423,-0.0769999999999999,0.0,WIN
T.J. McConnell,AST,5.0,UNDER,4.917,-0.0830000000000001,7.0,LOSS
Max Christie,PTS,15.5,UNDER,15.351,-0.1489999999999991,10.0,WIN
Brice Sensabaugh,REB,4.0,UNDER,3.834,-0.1659999999999999,3.0,WIN
Kris Dunn,REB,2.5,UNDER,2.303,-0.197,1.0,WIN
Donte DiVincenzo,REB,4.0,UNDER,3.791,-0.209,3.0,WIN
James Harden,REB,4.0,UNDER,3.763,-0.2370000000000001,7.0,LOSS
Naz Reid,PTS,13.5,UNDER,13.155,-0.3450000000000006,23.0,LOSS
Collin Sexton,AST,4.0,UNDER,3.641,-0.359,4.0,PUSH
Andrew Nembhard,REB,3.0,UNDER,2.552,-0.4479999999999999,6.0,LOSS
