player,prop,book_line,direction,model_prediction,edge,actual_value,result
Kris Dunn,PTS,7.5,UNDER,7.049,-0.4509999999999996,2.0,WIN
Duncan Robinson,PTS,10.5,UNDER,10.041,-0.4589999999999996,20.0,LOSS
Ausar Thompson,AST,2.5,UNDER,1.97,-0.53,6.0,LOSS
Paul Reed,AST,2.5,UNDER,1.885,-0.615,3.0,LOSS
Jaden McDaniels,REB,5.0,UNDER,4.277,-0.7229999999999999,1.0,WIN
Ausar Thompson,REB,5.5,UNDER,4.733,-0.7670000000000003,3.0,WIN
Dylan Harper,PTS,8.5,UNDER,7.732,-0.7679999999999998,5.0,WIN
Miles Bridges,PTS,18.5,UNDER,17.683,-0.8170000000000002,15.0,WIN
Cade Cunningham,REB,5.5,UNDER,4.644,-0.8559999999999999,0.0,WIN
Keyonte George,REB,4.0,UNDER,3.058,-0.9420000000000002,2.0,WIN
Julius Randle,REB,7.5,UNDER,6.524,-0.976,4.0,WIN
Jay Huff,REB,4.5,UNDER,3.494,-1.0059999999999998,2.0,WIN
Harrison Barnes,PTS,9.5,UNDER,8.448,-1.0519999999999996,6.0,WIN
Donte DiVincenzo,AST,4.0,UNDER,2.902,-1.098,6.0,LOSS
Payton Pritchard,PTS,16.5,UNDER,15.361,-1.1389999999999991,4.0,WIN
Julius Randle,AST,5.5,UNDER,4.247,-1.253,4.0,WIN
De'Aaron Fox,PTS,19.5,UNDER,18.184,-1.315999999999999,21.0,LOSS
Tyler Herro,AST,3.5,UNDER,2.07,-1.4300000000000002,4.0,LOSS
Rudy Gobert,REB,12.0,UNDER,10.549,-1.4510000000000003,12.0,PUSH
Bam Adebayo,PTS,16.5,UNDER,14.991,-1.5090000000000003,13.0,WIN
Cade Cunningham,PTS,27.5,UNDER,25.939,-1.561,0.0,WIN
Stephon Castle,AST,6.5,UNDER,4.935,-1.5650000000000004,5.0,WIN
Ivica Zubac,REB,9.5,UNDER,7.906,-1.5940000000000003,6.0,WIN
Andrew Nembhard,AST,7.5,UNDER,5.82,-1.6799999999999995,9.0,LOSS
James Harden,AST,7.5,UNDER,5.768,-1.7320000000000002,7.0,WIN
Paul Reed,PTS,9.5,UNDER,7.666,-1.8339999999999996,8.0,WIN
De'Aaron Fox,AST,6.0,UNDER,4.111,-1.889,6.0,PUSH
Isaiah Collier,AST,7.0,UNDER,5.105,-1.8949999999999996,9.0,LOSS
Ivica Zubac,PTS,12.5,UNDER,10.603,-1.897,17.0,LOSS
Brice Sensabaugh,PTS,14.5,UNDER,12.453,-2.0470000000000006,26.0,LOSS
Coby White,AST,4.0,UNDER,1.883,-2.117,3.0,WIN
Keldon Johnson,PTS,11.5,UNDER,9.342,-2.1579999999999995,18.0,LOSS
Kawhi Leonard,PTS,26.5,UNDER,24.24,-2.2600000000000016,26.0,WIN
Collin Sexton,PTS,14.5,UNDER,12.231,-2.269,15.0,LOSS
Stephon Castle,PTS,17.5,UNDER,15.211,-2.2889999999999997,9.0,WIN
Evan Mobley,REB,8.0,UNDER,5.515,-2.4850000000000003,4.0,WIN
Jaden McDaniels,PTS,14.0,UNDER,11.485,-2.515000000000001,12.0,WIN
Andrew Wiggins,PTS,14.0,UNDER,10.999,-3.000999999999999,11.0,WIN
Julius Randle,PTS,21.0,UNDER,17.959,-3.0410000000000004,22.0,LOSS
Kon Knueppel,PTS,18.5,UNDER,15.249,-3.250999999999999,12.0,WIN
LaMelo Ball,PTS,18.5,UNDER,15.184,-3.3160000000000007,17.0,WIN
LaMelo Ball,AST,8.0,UNDER,4.68,-3.3200000000000003,5.0,WIN
Isaiah Stewart,PTS,13.5,UNDER,10.145,-3.3550000000000004,0.0,WIN
Pascal Siakam,PTS,25.0,UNDER,21.601,-3.399000000000001,11.0,WIN
Donte DiVincenzo,PTS,13.5,UNDER,10.081,-3.4190000000000005,15.0,LOSS
Isaiah Collier,PTS,10.5,UNDER,7.036,-3.4640000000000004,17.0,LOSS
Jaylen Brown,PTS,28.5,UNDER,24.925,-3.5749999999999993,27.0,WIN
Evan Mobley,PTS,17.5,UNDER,13.901,-3.599,24.0,LOSS
Donovan Mitchell,PTS,29.5,UNDER,25.9,-3.6000000000000014,28.0,WIN
Ausar Thompson,PTS,12.5,UNDER,8.697,-3.803000000000001,6.0,WIN
Aaron Nesmith,PTS,16.5,UNDER,12.459,-4.041,12.0,WIN
Naji Marshall,PTS,16.5,UNDER,12.369,-4.131,14.0,WIN
Taylor Hendricks,PTS,7.5,UNDER,2.755,-4.745,7.0,WIN
Tyler Herro,PTS,20.5,UNDER,15.316,-5.183999999999999,21.0,LOSS
Klay Thompson,PTS,14.5,UNDER,9.274,-5.226000000000001,10.0,WIN
James Harden,PTS,23.5,UNDER,17.657,-5.843,19.0,WIN
Keyonte George,PTS,27.5,UNDER,20.744,-6.756,4.0,WIN
Cooper Flagg,PTS,23.5,UNDER,15.683,-7.817,11.0,WIN
Kyle Filipowski,PTS,13.5,UNDER,5.197,-8.303,4.0,WIN
Brandon Miller,PTS,20.5,UNDER,12.003,-8.497,18.0,WIN
Coby White,PTS,17.0,UNDER,7.177,-9.823,22.0,LOSS
