player,prop,book_line,model_prediction,confidence_pct,edge,direction,run_date,run_timestamp
Payton Pritchard,REB,4.5,4.628,8900.0,0.1280000000000001,OVER,2026-01-10,2026-01-10 23:19:05
Isaac Okoro,PTS,7.5,7.618,8400.0,0.1180000000000003,OVER,2026-01-10,2026-01-10 23:19:05
Kawhi Leonard,REB,5.5,5.613,8400.0,0.1130000000000004,OVER,2026-01-10,2026-01-10 23:19:05
Isaac Okoro,REB,3.5,3.519,8400.0,0.0190000000000001,OVER,2026-01-10,2026-01-10 23:19:05
Neemias Queta,PTS,8.5,8.463,9500.0,-0.0370000000000008,UNDER,2026-01-10,2026-01-10 23:19:05
Klay Thompson,AST,1.5,1.429,7900.0,-0.0709999999999999,UNDER,2026-01-10,2026-01-10 23:19:05
Sam Hauser,PTS,8.5,8.423,6800.0,-0.0769999999999999,UNDER,2026-01-10,2026-01-10 23:19:05
T.J. McConnell,AST,5.0,4.917,8700.0,-0.0830000000000001,UNDER,2026-01-10,2026-01-10 23:19:05
Max Christie,PTS,15.5,15.351,8300.0,-0.1489999999999991,UNDER,2026-01-10,2026-01-10 23:19:05
Brice Sensabaugh,REB,4.0,3.834,6700.0,-0.1659999999999999,UNDER,2026-01-10,2026-01-10 23:19:05
Kris Dunn,REB,2.5,2.303,7600.0,-0.197,UNDER,2026-01-10,2026-01-10 23:19:05
Donte DiVincenzo,REB,4.0,3.791,7100.0,-0.209,UNDER,2026-01-10,2026-01-10 23:19:05
James Harden,REB,4.0,3.763,8200.0,-0.2370000000000001,UNDER,2026-01-10,2026-01-10 23:19:05
Naz Reid,PTS,13.5,13.155,8400.0,-0.3450000000000006,UNDER,2026-01-10,2026-01-10 23:19:05
Collin Sexton,AST,4.0,3.641,9000.0,-0.359,UNDER,2026-01-10,2026-01-10 23:19:05
Andrew Nembhard,REB,3.0,2.552,8300.0,-0.4479999999999999,UNDER,2026-01-10,2026-01-10 23:19:05
Kris Dunn,PTS,7.5,7.049,7600.0,-0.4509999999999996,UNDER,2026-01-10,2026-01-10 23:19:05
Duncan Robinson,PTS,10.5,10.041,6800.0,-0.4589999999999996,UNDER,2026-01-10,2026-01-10 23:19:05
Ausar Thompson,AST,2.5,1.97,8000.0,-0.53,UNDER,2026-01-10,2026-01-10 23:19:05
Paul Reed,AST,2.5,1.885,6100.0,-0.615,UNDER,2026-01-10,2026-01-10 23:19:05
Jaden McDaniels,REB,5.0,4.277,5400.0,-0.7229999999999999,UNDER,2026-01-10,2026-01-10 23:19:05
