player,prop,book_line,model_prediction,edge,direction,source,run_date,run_timestamp
Khris Middleton,PTS,8.5,9.005,0.5050000000000008,OVER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Luguentz Dort,PTS,8.5,8.999,0.4990000000000005,OVER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Alex Caruso,REB,2.5,2.988,0.488,OVER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Bryce McGowens,AST,1.5,1.96,0.4599999999999999,OVER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Paul George,REB,5.5,5.951,0.4509999999999996,OVER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Aaron Wiggins,PTS,10.5,10.942,0.4420000000000001,OVER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Amen Thompson,REB,7.5,7.939,0.439,OVER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Dillon Brooks,REB,3.5,3.932,0.4319999999999999,OVER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Scottie Barnes,PTS,18.5,18.908,0.4080000000000012,OVER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Terance Mann,PTS,8.5,8.899,0.3989999999999991,OVER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Jeremiah Fears,REB,3.5,3.895,0.395,OVER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Harrison Barnes,REB,2.5,2.887,0.387,OVER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Jeremiah Fears,PTS,13.5,13.88,0.3800000000000008,OVER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Paul George,AST,3.5,3.847,0.347,OVER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Alex Caruso,AST,1.5,1.825,0.3249999999999999,OVER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Al Horford,AST,1.5,1.795,0.2949999999999999,OVER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Bryce McGowens,REB,2.5,2.788,0.2879999999999998,OVER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Zach LaVine,AST,3.0,3.26,0.2599999999999998,OVER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Onyeka Okongwu,PTS,14.5,14.751,0.2509999999999994,OVER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Bam Adebayo,REB,9.0,9.231,0.2309999999999998,OVER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Derik Queen,REB,9.0,9.206,0.2059999999999995,OVER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Khris Middleton,REB,3.5,3.664,0.1640000000000001,OVER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Dorian Finney-Smith,PTS,5.5,5.64,0.1399999999999996,OVER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Ja'Kobe Walter,REB,3.5,3.608,0.1080000000000001,OVER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Yves Missi,PTS,4.5,4.575,0.0750000000000001,OVER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Victor Wembanyama,AST,2.5,2.545,0.0449999999999999,OVER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Joel Embiid,PTS,24.5,24.464,-0.0360000000000013,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Mark Williams,REB,9.0,8.962,-0.0380000000000002,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Jaden McDaniels,AST,2.5,2.429,-0.0710000000000001,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Myles Turner,PTS,10.5,10.369,-0.1310000000000002,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Sandro Mamukelashvili,PTS,12.5,12.349,-0.1509999999999998,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Dylan Cardwell,REB,6.5,6.278,-0.2220000000000004,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Russell Westbrook,REB,6.0,5.771,-0.2290000000000001,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Mikal Bridges,REB,4.5,4.267,-0.2329999999999996,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Paul George,PTS,14.5,14.24,-0.2599999999999998,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Paolo Banchero,AST,5.5,5.223,-0.2770000000000001,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Onyeka Okongwu,REB,7.5,7.218,-0.282,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Mitchell Robinson,REB,8.5,8.161,-0.3390000000000004,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
DeMar DeRozan,PTS,19.0,18.628,-0.3719999999999999,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Mark Williams,PTS,11.5,11.104,-0.3960000000000008,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Cason Wallace,PTS,6.5,6.082,-0.4180000000000001,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Jaylen Wells,PTS,12.0,11.549,-0.4510000000000005,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Joel Embiid,REB,8.5,8.044,-0.4559999999999995,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Bilal Coulibaly,AST,2.5,2.044,-0.4559999999999999,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Nickeil Alexander-Walker,PTS,19.0,18.471,-0.5289999999999999,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Russell Westbrook,PTS,14.5,13.956,-0.5440000000000005,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Donte DiVincenzo,PTS,13.5,12.955,-0.5449999999999999,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Stephen Curry,PTS,28.5,27.926,-0.5740000000000016,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Dylan Harper,PTS,9.5,8.922,-0.5779999999999994,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Collin Gillespie,PTS,12.0,11.387,-0.6129999999999995,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Kel'el Ware,PTS,10.5,9.859,-0.641,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Royce O'Neale,AST,2.5,1.857,-0.643,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Jock Landale,PTS,11.5,10.834,-0.6660000000000004,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Jalen Johnson,REB,10.0,9.331,-0.6690000000000005,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
Bilal Coulibaly,PTS,11.5,10.782,-0.718,UNDER,PrizePicks,2026-01-11,2026-01-11 03:41:05
