player,prop,book_line,model_prediction,edge,direction,source,prop_type,run_date,run_timestamp
Will Richard,RA,2.5,4.85,2.3499999999999996,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Cason Wallace,PRA,10.5,12.829,2.3290000000000006,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Nickeil Alexander-Walker,PRA,28.0,30.329,2.3290000000000006,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Isaac Okoro,PRA,12.5,14.825,2.3249999999999993,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Dylan Harper,PTS,7.5,9.82,2.3200000000000003,OVER,PrizePicks,standard,2026-01-13,2026-01-13 17:26:51
Amen Thompson,RA,13.5,15.805,2.3049999999999997,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Al Horford,REB,4.0,6.256,2.256,OVER,PrizePicks,standard,2026-01-13,2026-01-13 17:26:51
Nickeil Alexander-Walker,PR,24.5,26.755,2.254999999999999,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Gui Santos,PRA,7.5,9.734,2.234,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Dyson Daniels,PTS,13.0,15.168,2.1679999999999993,OVER,PrizePicks,standard,2026-01-13,2026-01-13 17:26:51
Bryce McGowens,PTS,7.5,9.637,2.1370000000000005,OVER,PrizePicks,standard,2026-01-13,2026-01-13 17:26:51
Isaac Okoro,PR,11.0,13.136,2.1359999999999992,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Jalen Smith,REB,6.5,8.633,2.132999999999999,OVER,PrizePicks,standard,2026-01-13,2026-01-13 17:26:51
Ayo Dosunmu,PTS,14.5,16.616,2.1159999999999997,OVER,PrizePicks,standard,2026-01-13,2026-01-13 17:26:51
Kevin Durant,PTS,25.5,27.6,2.1000000000000014,OVER,PrizePicks,standard,2026-01-13,2026-01-13 17:26:51
Jeremiah Fears,PTS,12.5,14.583,2.083,OVER,PrizePicks,standard,2026-01-13,2026-01-13 17:26:51
Julian Champagnie,PTS,12.0,14.057,2.0570000000000004,OVER,PrizePicks,standard,2026-01-13,2026-01-13 17:26:51
Quinten Post,PR,10.5,12.455,1.955,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Cason Wallace,TO,0.5,2.441,1.941,OVER,PrizePicks,standard,2026-01-13,2026-01-13 17:26:51
Kevin Huerter,PRA,18.5,20.425,1.9250000000000007,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Ayo Dosunmu,PRA,22.5,24.422,1.9220000000000008,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Zeke Nnaji,PRA,14.5,16.402,1.902000000000001,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Kevin Huerter,PA,14.5,16.366,1.8659999999999997,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Cason Wallace,PA,7.5,9.349,1.849,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Amen Thompson,PTS,19.5,21.344,1.8440000000000012,OVER,PrizePicks,standard,2026-01-13,2026-01-13 17:26:51
Bryce McGowens,TO,0.5,2.339,1.839,OVER,PrizePicks,standard,2026-01-13,2026-01-13 17:26:51
Oso Ighodaro,PRA,11.5,13.304,1.8040000000000005,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Kevin Durant,PRA,36.5,38.284,1.783999999999999,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Bryce McGowens,PRA,12.0,13.783,1.7829999999999997,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Peyton Watson,PTS,20.5,22.264,1.7639999999999991,OVER,PrizePicks,standard,2026-01-13,2026-01-13 17:26:51
Jordan Goodwin,PA,10.5,12.262,1.7620000000000005,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Nickeil Alexander-Walker,PTS,20.5,22.261,1.7609999999999992,OVER,PrizePicks,standard,2026-01-13,2026-01-13 17:26:51
Zeke Nnaji,PA,9.5,11.258,1.7579999999999991,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Jordan Goodwin,PR,12.5,14.246,1.7460000000000004,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Jeremiah Fears,PRA,20.5,22.236,1.7360000000000009,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Luke Kornet,TO,0.5,2.233,1.733,OVER,PrizePicks,standard,2026-01-13,2026-01-13 17:26:51
Harrison Barnes,PA,12.5,14.231,1.731,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Derik Queen,RA,13.0,14.72,1.7200000000000006,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Dillon Brooks,PRA,25.5,27.216,1.716000000000001,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Jeremiah Fears,PR,17.0,18.693,1.6930000000000014,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Gui Santos,PR,6.5,8.185,1.6850000000000005,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Spencer Jones,PA,9.5,11.17,1.67,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
Kevin Huerter,PR,15.5,17.152,1.652000000000001,OVER,PrizePicks,combo,2026-01-13,2026-01-13 17:26:51
