player,prop,book_line,model_prediction,edge,direction,source,prop_type,run_date,run_timestamp
Collin Murray-Boyles,PRA,18.5,24.356,5.856000000000002,OVER,PrizePicks,combo,2026-01-12,2026-01-12 03:29:42
Precious Achiuwa,PR,12.5,17.767,5.2669999999999995,OVER,PrizePicks,combo,2026-01-12,2026-01-12 03:29:42
Collin Murray-Boyles,PR,16.5,21.708,5.207999999999998,OVER,PrizePicks,combo,2026-01-12,2026-01-12 03:29:42
Day'Ron Sharpe,PR,13.5,18.498,4.998000000000001,OVER,PrizePicks,combo,2026-01-12,2026-01-12 03:29:42
Collin Murray-Boyles,PTS,8.5,13.453,4.952999999999999,OVER,PrizePicks,standard,2026-01-12,2026-01-12 03:29:42
Precious Achiuwa,PTS,7.5,12.113,4.6129999999999995,OVER,PrizePicks,standard,2026-01-12,2026-01-12 03:29:42
Collin Murray-Boyles,PA,11.5,16.101,4.600999999999999,OVER,PrizePicks,combo,2026-01-12,2026-01-12 03:29:42
Tyrese Maxey,PR,31.5,36.005,4.505000000000003,OVER,PrizePicks,combo,2026-01-12,2026-01-12 03:29:42
Day'Ron Sharpe,PTS,6.5,10.605,4.105,OVER,PrizePicks,standard,2026-01-12,2026-01-12 03:29:42
Tyrese Maxey,PRA,37.5,41.574,4.073999999999998,OVER,PrizePicks,combo,2026-01-12,2026-01-12 03:29:42
Jake LaRavia,PR,15.5,19.395,3.895,OVER,PrizePicks,combo,2026-01-12,2026-01-12 03:29:42
Jake LaRavia,PTS,10.5,14.325,3.8249999999999993,OVER,PrizePicks,standard,2026-01-12,2026-01-12 03:29:42
Lauri Markkanen,PRA,35.5,39.238,3.737999999999999,OVER,PrizePicks,combo,2026-01-12,2026-01-12 03:29:42
Sam Merrill,PTS,11.5,15.131,3.631,OVER,PrizePicks,standard,2026-01-12,2026-01-12 03:29:42
Tyrese Maxey,PTS,27.5,30.978,3.4780000000000015,OVER,PrizePicks,standard,2026-01-12,2026-01-12 03:29:42
Terance Mann,PA,9.5,12.739,3.2390000000000008,OVER,PrizePicks,combo,2026-01-12,2026-01-12 03:29:42
Lauri Markkanen,RA,9.0,12.168,3.1679999999999993,OVER,PrizePicks,combo,2026-01-12,2026-01-12 03:29:42
Sam Merrill,PR,14.5,17.615,3.1149999999999984,OVER,PrizePicks,combo,2026-01-12,2026-01-12 03:29:42
Tyrese Maxey,PA,33.5,36.546,3.0459999999999994,OVER,PrizePicks,combo,2026-01-12,2026-01-12 03:29:42
Danny Wolf,PRA,12.5,15.507,3.0069999999999997,OVER,PrizePicks,combo,2026-01-12,2026-01-12 03:29:42
Nique Clifford,PTS,6.5,9.377,2.8770000000000007,OVER,PrizePicks,standard,2026-01-12,2026-01-12 03:29:42
John Collins,PA,16.5,19.161,2.661000000000002,OVER,PrizePicks,combo,2026-01-12,2026-01-12 03:29:42
Jake LaRavia,PRA,18.5,21.132,2.6320000000000014,OVER,PrizePicks,combo,2026-01-12,2026-01-12 03:29:42
