game_date,player,prop,model_prediction,book_line,proj_min,edge,actual,stat_AST,stat_PA,stat_PR,stat_PRA,stat_PTS,stat_RA,stat_REB,stat_STL,stat_TO
2026-01-10,Cody Williams,REB,2.692,2.5,0,0.1920000000000001,2.0,False,False,False,False,False,False,True,False,False
2026-01-10,Luke Kornet,AST,1.691,1.5,0,0.191,1.0,True,False,False,False,False,False,False,False,False
2026-01-10,Bam Adebayo,REB,9.668,9.5,0,0.1679999999999992,9.0,False,False,False,False,False,False,True,False,False
2026-01-10,Payton Pritchard,REB,4.628,4.5,0,0.1280000000000001,5.0,False,False,False,False,False,False,True,False,False
2026-01-10,Isaac Okoro,PTS,7.618,7.5,0,0.1180000000000003,13.0,False,False,False,False,True,False,False,False,False
2026-01-10,Kawhi Leonard,REB,5.613,5.5,0,0.1130000000000004,8.0,False,False,False,False,False,False,True,False,False
2026-01-10,Isaac Okoro,REB,3.519,3.5,0,0.0190000000000001,4.0,False,False,False,False,False,False,True,False,False
2026-01-10,Neemias Queta,PTS,8.463,8.5,0,-0.0370000000000008,9.0,False,False,False,False,True,False,False,False,False
2026-01-10,Klay Thompson,AST,1.429,1.5,0,-0.0709999999999999,1.0,True,False,False,False,False,False,False,False,False
2026-01-10,Sam Hauser,PTS,8.423,8.5,0,-0.0769999999999999,0.0,False,False,False,False,True,False,False,False,False
2026-01-10,T.J. McConnell,AST,4.917,5.0,0,-0.0830000000000001,7.0,True,False,False,False,False,False,False,False,False
2026-01-10,Max Christie,PTS,15.351,15.5,0,-0.1489999999999991,10.0,False,False,False,False,True,False,False,False,False
2026-01-10,Brice Sensabaugh,REB,3.834,4.0,0,-0.1659999999999999,3.0,False,False,False,False,False,False,True,False,False
2026-01-10,Kris Dunn,REB,2.303,2.5,0,-0.197,1.0,False,False,False,False,False,False,True,False,False
2026-01-10,Donte DiVincenzo,REB,3.791,4.0,0,-0.209,3.0,False,False,False,False,False,False,True,False,False
2026-01-10,James Harden,REB,3.763,4.0,0,-0.2370000000000001,7.0,False,False,False,False,False,False,True,False,False
2026-01-10,Naz Reid,PTS,13.155,13.5,0,-0.3450000000000006,23.0,False,False,False,False,True,False,False,False,False
2026-01-10,Collin Sexton,AST,3.641,4.0,0,-0.359,4.0,True,False,False,False,False,False,False,False,False
2026-01-10,Andrew Nembhard,REB,2.552,3.0,0,-0.4479999999999999,6.0,False,False,False,False,False,False,True,False,False
2026-01-10,Kris Dunn,PTS,7.049,7.5,0,-0.4509999999999996,2.0,False,False,False,False,True,False,False,False,False
2026-01-10,Duncan Robinson,PTS,10.041,10.5,0,-0.4589999999999996,20.0,False,False,False,False,True,False,False,False,False
2026-01-10,Ausar Thompson,AST,1.97,2.5,0,-0.53,6.0,True,False,False,False,False,False,False,False,False
2026-01-10,Paul Reed,AST,1.885,2.5,0,-0.615,3.0,True,False,False,False,False,False,False,False,False
2026-01-10,Jaden McDaniels,REB,4.277,5.0,0,-0.7229999999999999,1.0,False,False,False,False,False,False,True,False,False
