season,game_id,date,player_id,player,team,opponent,pts,reb,ast,stl,blk,to,fga,fta,oreb,min,poss,opp_allow_pts,opp_allow_reb,opp_allow_ast,opp_allow_stl,opp_allow_blk,opp_allow_to,opp_pace_proxy,roll_avg_pts,roll_avg_reb,roll_avg_ast,roll_avg_stl,roll_avg_blk,roll_avg_to,lag1_pts,lag1_reb,lag1_ast,lag1_stl,lag1_blk,lag1_to,roll_min,lag1_min,lag2_min,ewm_min,usage_proxy,lag1_usage,roll_usage,ewm_usage,games_played
2025,18446828,2025-10-22,1057845705,Hunter Dickinson,NOP,MEM,2,0,0,0,1,0,2,0,0,5.0,2.0,10.99757281553398,4.235436893203883,2.5145631067961167,0.8228155339805825,0.49029126213592233,0.0,8.47631067961165,2.0,0.0,0.0,0.0,1.0,0.0,,,,,,,5.0,,,5.0,0.4,,0.4,0.4,0
2025,18446857,2025-10-26,3547243,Obi Toppin,IND,MIN,9,6,0,1,0,0,6,4,2,17.0,5.76,10.627314814814815,4.013888888888889,2.375,0.7199074074074074,0.3587962962962963,0.0,8.302870370370371,14.0,6.666666666666667,1.6666666666666667,1.0,0.0,0.0,13.0,9.0,2.0,0.0,0.0,0.0,27.666666666666668,26.0,40.0,29.222222222222225,0.45647058823529413,0.47846153846153844,0.4763107088989442,0.47803720462543997,2
2025,18446861,2025-10-27,56677845,Colby Jones,DET,CLE,2,4,2,0,0,0,3,0,0,7.0,3.0,10.786697247706423,4.112385321100917,2.5022935779816513,0.7958715596330275,0.4036697247706422,0.0,8.165963302752294,2.0,4.0,2.0,0.0,0.0,0.0,,,,,,,7.0,,,7.0,0.42857142857142855,,0.42857142857142855,0.42857142857142855,0
2025,18446883,2025-10-29,250,DeAndre Jordan,NOP,DEN,2,5,0,0,0,0,1,0,3,12.0,-2.0,11.040963855421687,3.9734939759036143,2.597590361445783,0.7325301204819277,0.4457831325301205,0.0,8.432096385542168,4.5,5.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,0.0,0.0,0.0,11.5,11.0,,11.333333333333334,0.08333333333333333,0.4436363636363636,0.2634848484848485,0.32353535353535356,1
2025,18446884,2025-10-29,666923,Matisse Thybulle,POR,UTA,3,0,1,2,0,0,1,0,0,5.0,1.0,11.521428571428572,4.119047619047619,2.7333333333333334,0.8119047619047619,0.5285714285714286,0.0,8.354285714285714,5.0,1.0,0.75,2.5,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,12.25,15.0,15.0,11.370370370370372,0.2,0.26666666666666666,0.23276190476190478,0.22519929453262788,3
2025,18446897,2025-10-31,38017693,Blake Wesley,POR,DEN,5,0,2,2,0,0,5,2,0,10.0,5.88,11.040963855421687,3.9734939759036143,2.597590361445783,0.7325301204819277,0.4457831325301205,0.0,8.432096385542168,5.8,2.2,3.0,1.6,0.2,0.0,10.0,2.0,3.0,2.0,1.0,0.0,16.6,20.0,16.0,15.11934156378601,0.588,0.35,0.3954823529411765,0.4421147421931736,5
2025,18446896,2025-10-31,38017705,Walker Kessler,UTA,PHX,4,13,1,1,0,0,5,0,4,29.0,1.0,9.906818181818181,3.827272727272727,2.184090909090909,0.7340909090909091,0.4022727272727273,0.0,7.5035454545454545,14.4,10.8,3.0,1.4,1.8,0.0,18.0,12.0,4.0,1.0,1.0,0.0,31.0,32.0,35.0,30.654320987654323,0.1724137931034483,0.41625,0.2889892446633826,0.29164727644995847,4
2025,18446911,2025-11-02,1028046464,Harrison Ingram,SAS,PHX,2,2,0,0,0,0,2,0,2,5.0,0.0,9.906818181818181,3.827272727272727,2.184090909090909,0.7340909090909091,0.4022727272727273,0.0,7.5035454545454545,1.6666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6666666666666665,2.0,4.0,3.8888888888888893,0.4,0.0,0.21666666666666667,0.24444444444444446,2
2025,18446911,2025-11-02,1028245994,Riley Minix,SAS,PHX,9,1,0,1,0,0,6,0,1,5.0,5.0,9.906818181818181,3.827272727272727,2.184090909090909,0.7340909090909091,0.4022727272727273,0.0,7.5035454545454545,3.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,3.0,1.2,0.0,0.39999999999999997,0.39999999999999997,2
2025,18446914,2025-11-03,17554005,Mac McClung,IND,MIL,0,0,0,0,0,0,1,0,0,2.0,1.0,10.584905660377359,4.0825471698113205,2.452830188679245,0.7617924528301887,0.37028301886792453,0.0,8.070943396226415,6.333333333333333,1.3333333333333333,0.3333333333333333,1.6666666666666667,0.3333333333333333,0.0,12.0,2.0,0.0,3.0,0.0,0.0,11.333333333333334,19.0,13.0,10.666666666666668,0.5,0.6547368421052632,0.5469635627530365,0.5282321187584347,2
2025,18446922,2025-11-04,383,Taurean Prince,MIL,TOR,0,0,1,0,0,0,5,0,0,21.0,5.0,10.617021276595745,4.15130023640662,2.307328605200946,0.7730496453900709,0.5319148936170213,0.0,8.136359338061466,5.4,1.2,0.4,0.2,0.2,0.0,6.0,3.0,0.0,1.0,0.0,0.0,18.8,21.0,13.0,20.01600365797897,0.23809523809523808,0.2857142857142857,0.25495970695970693,0.24572717290625165,7
2025,18446933,2025-11-05,17895854,Charles Bassey,MEM,HOU,4,5,1,0,0,0,5,1,2,15.0,3.4400000000000004,10.119289340101522,3.472081218274112,2.2055837563451774,0.8248730964467005,0.41116751269035534,0.0,7.903045685279189,3.5,7.5,1.0,0.5,0.5,0.0,3.0,10.0,1.0,1.0,1.0,0.0,15.0,15.0,,15.0,0.3626666666666667,0.25866666666666666,0.31066666666666665,0.29333333333333333,1
2025,18446958,2025-11-08,17895966,Jalen Green,PHX,LAC,2,1,1,0,0,0,3,0,1,7.0,2.0,10.2541567695962,3.828978622327791,2.334916864608076,0.8456057007125891,0.4180522565320665,0.0,7.7377672209026125,15.5,2.0,2.0,1.0,0.0,0.0,29.0,3.0,3.0,2.0,0.0,0.0,15.0,23.0,,17.666666666666668,0.42857142857142855,0.9652173913043478,0.6968944099378882,0.7863354037267081,1
2025,18446953,2025-11-08,1028243921,N'Faly Dante,ATL,LAL,0,0,0,0,0,0,0,0,0,2.0,0.0,10.488721804511279,3.674185463659148,2.481203007518797,0.8320802005012531,0.3308270676691729,0.0,7.794786967418546,0.75,1.75,0.0,0.5,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,9.0,3.407407407407408,0.0,1.0,0.34555555555555556,0.27884773662551443,3
2025,18446958,2025-11-08,37,Bradley Beal,LAC,PHX,12,0,3,1,0,0,9,2,0,20.0,9.88,9.906818181818181,3.827272727272727,2.184090909090909,0.7340909090909091,0.4022727272727273,0.0,7.5035454545454545,8.8,0.8,2.0,0.4,0.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,20.2,20.0,20.0,20.09876543209877,0.49400000000000005,0.7,0.46097142857142864,0.4767513227513228,5
2025,18446979,2025-11-11,666748,Cody Martin,IND,UTA,1,1,0,0,0,0,0,2,0,5.0,0.88,11.521428571428572,4.119047619047619,2.7333333333333334,0.8119047619047619,0.5285714285714286,0.0,8.354285714285714,1.75,3.5,0.5,1.0,0.5,0.0,2.0,6.0,2.0,3.0,0.0,0.0,13.75,28.0,14.0,12.333333333333334,0.176,0.17857142857142858,0.24953571428571428,0.2492486772486773,3
2025,18446991,2025-11-12,1028246478,Daeqwon Plowden,SAC,ATL,2,2,0,0,0,0,5,0,2,14.0,3.0,10.93018018018018,4.254504504504505,2.5563063063063063,0.8355855855855856,0.4391891891891892,0.0,8.26,2.0,2.0,0.0,0.0,0.0,0.0,,,,,,,14.0,,,14.0,0.35714285714285715,,0.35714285714285715,0.35714285714285715,0
2025,18446998,2025-11-14,1028036878,Bobi Klintman,DET,PHI,2,0,0,0,0,0,1,0,0,5.0,1.0,10.847715736040609,4.228426395939087,2.530456852791878,0.7030456852791879,0.49238578680203043,0.0,8.398578680203046,3.0,2.6,0.8,0.0,0.0,0.0,6.0,6.0,1.0,0.0,0.0,0.0,9.4,14.0,7.0,8.31687242798354,0.2,0.5,0.379352380952381,0.354997452478934,5
2025,18447011,2025-11-16,406,Domantas Sabonis,SAC,SAS,17,13,5,3,0,0,14,4,3,36.0,12.76,10.502325581395349,4.037209302325581,2.4558139534883723,0.727906976744186,0.40232558139534885,0.0,8.293023255813953,20.4,10.0,3.4,1.2,0.2,0.0,34.0,11.0,3.0,0.0,1.0,0.0,31.4,39.0,26.0,33.758573388203025,0.43777777777777777,0.7056410256410256,0.5658324786324787,0.5144828312501809,10
2025,18447019,2025-11-17,38017700,Wendell Moore Jr.,DET,IND,0,2,0,1,0,0,2,0,0,15.0,2.0,10.642201834862385,4.229357798165138,2.25,0.6536697247706422,0.40825688073394495,0.0,8.038623853211009,2.0,1.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,0.0,4.0,2.0,2.0,0.0,0.0,0.0,14.333333333333334,18.0,10.0,13.444444444444446,0.13333333333333333,0.16666666666666666,0.13333333333333333,0.12592592592592594,2
2025,18447019,2025-11-17,1028205331,Isaac Jones,DET,IND,2,0,0,0,0,0,2,0,0,1.0,2.0,10.642201834862385,4.229357798165138,2.25,0.6536697247706422,0.40825688073394495,0.0,8.038623853211009,1.25,0.5,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.5,2.0,1.0,5.074074074074075,2.0,0.44,0.6457142857142857,0.8067724867724868,3
